Description,Brand,Model,S/N,Quantity,Remark,UOM
LED Display P3.9,Wing Plus 3.9,Cabinet Size 500*1000*73,,175,,SQM
LED Display P3.9,Wing Plus 3.9,Cabinet Size 500*500*73,,18,,SQM
SETTING LED Display P3.9,Wing Plus 3.10,P3 1M,,20,,
SETTING LED Display P3.10,Wing Plus 3.11,P3 50CM,,6,,
LED Display P2.97,GLOSHINE,MV2.97 indoor 500 x 500 x 78 mm,,58,,SQM
SETTING LED Display P2.97,GLOSHINE,Setting MV2.97 indoor 500 x 500 x 78 mm (100CM),,12,,
SETTING LED Display P2.97,GLOSHINE,Setting MV2.97 indoor 500 x 500 x 78 mm (50CM),,13,,
LED Display P2.6,UGNII2.6,Cabinet size:W500mmxH500mmxD65mm,,328,,SQM
LED Display P2.6,UGNII2.6-C,Cabinet(Cube) size:W500mmxH500mmxD65mm,,30,,SQM
LED Display P2.6,UGNII2.6-S,Cabinet(Flexible) size:W500mmxH500mmxD65mm,,38,,SQM
OUTDOOR 2.9,UGNII2.9,Cabinet  size:W500mm×H500mm OUTDOOR,,20,,SQM
OUTDOOR 2.9,UGNII2.9,Cabinet  size:W500mm×H1000mm OUTDOOR,,80,,SQM
SETTING LED Display P2.6,UGNII2.6-S,Setting UGNII2.6-S (50CM),,84,,
SETTING LED Display P2.6,UGNII2.6-S,Setting UGNII2.6-S (50CM) CUBE,,4,,
SETTING LED Display P2.9,UGNII2.9,Setting UGNII2.9 (50CM) CUBE,,34,,
SETTING LED Display P2.10,UGNII2.9,Setting UGNII2.9 (50CM) CUBE,,13,,
4K LED Display Controller,NOVASTAR,MCTRL4K,KECE8503N0x40002770,1,,
4K LED Display Controller,NOVASTAR,MCTRL4K,MECE09A15N011200660,1,,
4K LED Display Controller,NOVASTAR,MCTRL4K,KECE009044N0720000298,1,,
4K LED Display Controller,NOVASTAR,MCTRL4K,KECE08503N0X40002774,1,,
Fiber Controller,NOVASTAR,CVT4K,AEQB09191N0310000134,1,,
Fiber Controller,NOVASTAR,CVT4K,AEQB09143N0420000258,1,,
Fiber Controller,NOVASTAR,CVT4K,AEQB09191N0310000132,1,,
Fiber Controller,NOVASTAR,CVT4K,AEQB09A15B0112000176,1,,
Fiber Controller,NOVASTAR,CVT4K,AEQB08213W0720000200,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02716N0A10001748,1,,
Fiber Controller,NOVASTAR,CVT4K,AEQB00207N0020000012,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02415N0A10001086,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02415N0A10000867,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02415N0A10000674,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02415N0A10000864,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC03A24N0A10002628,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC03A24N0A10002615,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02415N0A10000859,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02415N0A10000683,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02407N0A10002865,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02415N0A1000827,1,,
Fiber Controller,NOVASTAR,CVT4K,2EQC02415N0A10002615,1,,
Fiber Converter,NOVASTAR,CVT10,MJLA02321WOA10000914,1,,
Fiber Converter,NOVASTAR,CVT10,MJLA02321WOA10000910,1,,
Fiber Converter,NOVASTAR,CVT10,MJLA02321WOA10000903,1,,
Video Wall Splicers,NOVASTAR,H15,MTUA42210N0A10005404,1,,
Video Wall Splicers,NOVASTAR,H9,2TU42729N010024150,1,,
Video Wall Splicers,NOVASTAR,H9,2TUA03807A1A10038429,1,,
Video Wall Splicers,NOVASTAR,H9,2TUA43605N2A10032656,1,,
Video Wall Splicers,NOVASTAR,H9,MTUA42210N0030001077,1,,
Video Wall Splicers,NOVASTAR,H5,MTUA42305N0A10007086,1,,
Video Wall Splicers,NOVASTAR,H2,MTUA11129W0040002106,1,,
Video Controller,NOVASTAR,VX1000s,MFKA02124W0030000099,1,,
Video Controller,NOVASTAR,VX1000s,MFKA02321W0A10001623,1,,
Video Controller,NOVASTAR,VX1000s,MFKA02321W0A10001669,1,,
Video Controller,NOVASTAR,VX1000s,21VB32923N2A10030702,1,,
Multimedia Player,NOVASTAR,TB60,MYHA1212N3020002599,1,,
Multimedia Player,NOVASTAR,TU15PRO,25826A000010602,1,,
FiberOptic 300m,FiberOptic 300m,FiberOptic 300m,,3,,
FiberOptic 200m,FiberOptic 200m,FiberOptic 200m,,20,,
FiberOptic 300m,FiberOptic 300m,FiberOptic 300m outdoor,,2,,
Power 16A to Powwercon 10M,Power 16A to Powwercon 10M,Power 16A to Powwercon 10M,,195,,
Power 16A to Powercon 30M,Power 16A to Powercon 30M,Power 16A to Powercon 30M,,225,,
Data Link 50 M,Data Link 50 M,Data Link 50 M,,61,,
Data Link 30 M,Data Link 30 M,Data Link 30 M,,170,,
Data Link 15 M,Data Link 15 M,Data Link 15 M,,172,,
Power Link P3.9(Powercon) 1.5M,Power Link P3.9(Powercon) 1.5M,Power Link P3.9(Powercon) 1.5M,,204,,
Power Link P2.9(Powercon) 1.2M,Power Link P2.9(Powercon) 1.2M,Power Link P2.9(Powercon) 1.2M,,179,,
Power Link P2.6(Powercon) 0.8M,Power Link P2.6(Powercon) 0.8M,Power Link P2.6(Powercon) 0.8M,,1210,,
Data Link P3.9(ethercon) 1.2m,Data Link P3.9(ethercon) 1.2m,Data Link P3.9(ethercon) 1.2m,,490,,
Data Link P2.9(ethercon)1.0m,Data Link P2.9(ethercon)1.0m,Data Link P2.9(ethercon)1.0m,,135,,
