Description,Brand,Model,S/N,Quantity,Remark
Encore Video Processor,BARCO,E2 Gen1,9693257210,1,
Encore Video Processor,BARCO,E2 Gen1,9693289498,1,
Encore Video Processor,BARCO,E2 Gen2,9740015850,1,
Encore Video Processor,BARCO,E1,9693094301,1,
Encore Video Processor,BARCO,E1,9693094300,1,
Encore Video Processor,BARCO,E1,9693094299,1,
Encore Video Processor,BARCO,S3,9693302165,1,
Seamless switcher,PIXELHUE,Q8,2405A000009296,1,
Seamless switcher,PIXELHUE,Q8,,1,
Switcher Controller,BARCO,Encore LC,9693087012,1,
Seamless Switcher Controller,BARCO ,EC50,7560202932,1,
Seamless Switcher Controller,BARCO,EC200,,1,
Seamless Switcher Controller,BARCO,EC200,756010302,1,
Seamless Switcher Controller,BARCO ,EC210,756090094,1,
Seamless Switcher Controller,BARCO ,EX,,1,
Multi-layer video display system,BARCO,SCREEN PRO II,9693060753,1,
Presentation Switcher 4K,BARCO,PDS 4K,9740008407,1,
Presentation Switcher 4K,BARCO,PDS 4K,9740008413,1,
Seamless switcher,BARCO,PDS 902,9693140993,1,
Seamless switcher,BARCO,PDS 902,9693134273,1,
Image Processor,BARCO,IMAGEPRO 4K,9693275074,1,
Image Processor,BARCO,IMAGEPRO,9693053537,1,
Seamless switcher,BARCO,VP,9693094301,1,
Seamless switcher,BARCO,VP,9693094300,1,
Seamless switcher,BARCO,VP,9693094299,1,
Seamless switcher,PIXELHUE,P20,24708A000003458,1,
Seamless switcher,PIXELHUE,F4,MGYA11427N2A10000014,1,
Seamless switcher,PIXELHUE,U3,2FWB32915N0A0000090,1,
Switcher Controller,PIXELHUE,U5 Pro,25715A000002969,1,
Seamless switcher,PIXELHUE,P10,24911A000000105,1,
Seamless switcher,Analogway,Zenith 200,NL0723,1,
Seamless switcher,Analogway,Pulse 4K,NH0806,1,
Seamless switcher,Analogway,Pulse 4K,NH0808,1,
Seamless switcher,Novastar,J6,SEWF08502N8X10000268,1,
Seamless switcher,Novastar,N9,SHCG0000100012104260160763,1,
Seamless switcher,Matrix,DPS HDMI 4 x 4,A0FX149E24100,1,
Seamless switcher,MAGNIMAGE,780,,1,
Matrix and Video wall 8 x 8,Turtle,TAV - MXSSVW ,VW881520019,1,
Matrix and Video wall 8 x 8,Turtle,TAV - MXSSVW ,VW881520035,1,
Matrix and Video wall 8 x 8,Turtle,TAV - MXSSVW ,VW881520055,1,
Matrix and Video wall 8 x 8,Turtle,TAV - MXSSVW ,VW888520014,1,
Matrix and Video wall 8 x 8,Turtle,TAV - MXSSVW ,VW888520050,1,
Extender  Transmitter / Receiver Fiber optic,Extron HDMI transmitter,HDMI,,1,
Extender  Transmitter / Receiver Fiber optic,Extron HDMI receiver,HDMI,,1,
Extender  Transmitter / Receiver Fiber optic,Extron DVI transmitter,DVI,,1,
Extender  Transmitter / Receiver Fiber optic,Extron DVI receiver,DVI,,1,
Extender  Transmitter / Receiver Fiber optic,Beetek ,DVI Dual core ,,7,
Extender  Transmitter / Receiver Fiber optic,Beetek ,DVI Single core ,,4,
Extender  Transmitter / Receiver Fiber optic,Beetek ,HDMI Single core transmitter,9901070961305    ,1,
Extender  Transmitter / Receiver Fiber optic,Beetek ,HDMI Single core transmitter,9901070961269    ,1,
Extender  Transmitter / Receiver Fiber optic,Beetek ,HDMI Single core transmitter,9901070961287    ,1,
Extender  Transmitter / Receiver Fiber optic,Beetek ,HDMI Single core transmitter,9901070961291    ,1,
Extender  Transmitter / Receiver Fiber optic,Beetek ,HDMI Single core receiver,9901070961306    ,1,
Extender  Transmitter / Receiver Fiber optic,Beetek ,HDMI Single core receiver,9901070961270    ,1,
Extender  Transmitter / Receiver Fiber optic,Beetek ,HDMI Single core receiver,9901070961288    ,1,
Extender  Transmitter / Receiver Fiber optic,Beetek ,HDMI Single core receiver,9901070961292    ,1,
Extender  Transmitter / Receiver Fiber optic,PIXELHUE,EP 4k tramsmitter,25724A000008404,1,
Extender  Transmitter / Receiver Fiber optic,PIXELHUE,EP 4k tramsmitter,25509A000007944,1,
Extender  Transmitter / Receiver Fiber optic,PIXELHUE,EP 4k tramsmitter,25514A000003919,1,
Extender  Transmitter / Receiver Fiber optic,PIXELHUE,EP 4k receiver,25509A000007922,1,
Extender  Transmitter / Receiver Fiber optic,PIXELHUE,EP 4k receiver,25904A000005001,1,
Extender  Transmitter / Receiver Fiber optic,PIXELHUE,EP 4k receiver,25904A000005009,1,
Extender  Transmitter / Receiver KVM Over IP,ATEN,Transmitter,201812180001    ,1,
Extender  Transmitter / Receiver KVM Over IP,ATEN,Transmitter,201901230001    ,1,
Extender  Transmitter / Receiver KVM Over IP,ATEN,Receiver,201811260012    ,1,
Extender  Transmitter / Receiver KVM Over IP,ATEN,Receiver,201901230002    ,1,
Distribution ,Extron,HDMI 1 x 6,F33FYXV E37951,1,
Distribution ,Extron,HDMI 1 x 6,A33FYVM E37951,1,
Distribution ,Extron,HDMI 1 x 6,A33FYTS E37951,1,
Distribution ,Extron,HDMI 1 x 6,A33FYXF E37951,1,
Distribution ,Extron,HDMI 1 x 6,A33FYUE E37951,1,
Distribution ,Extron,HDMI 1 x 6,A33FYRY E37951,1,
Distribution ,Extron,HDMI 1 x 6,A33FYWP E37951,1,
Distribution ,Extron,HDMI 1 x 6,A33FYU6 E37951,1,
Distribution ,Extron,HDMI 1 x 6,A33FYV3 E37951,1,
Distribution ,ATEN,ATEN 1 x 8,,1,
Distribution ,UGREEN,UGREEN 1 x 8,1    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,2    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,3    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,4    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,5    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,6    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,7    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,8    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,9    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,10    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,11    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,12    ,1,
Distribution ,UGREEN,UGREEN 1 x 8,13    ,1,
Distribution ,NEXIS,NEXIS 1 x 8,1    ,1,
Distribution ,NEXIS,NEXIS 1 x 8,2    ,1,
Distribution ,NEXIS,NEXIS 1 x 8,3    ,1,
Distribution ,NEXIS,NEXIS 1 x 8,4    ,1,
Distribution ,Noname,Noname,,2,
Cross converter ,Decimator,Decimator,LXC8016C,1,
Cross converter ,Decimator,Decimator,LXC80173,1,
Cross converter ,Decimator,Decimator,LXC8016D,1,
Cross converter ,Decimator,Decimator,LXC80180,1,
Cross converter ,Decimator,Decimator,LXC8015D,1,
Cross converter ,Decimator,Decimator,LXC80158,1,
Cross converter ,Decimator,Decimator,LXC80152,1,
Cross converter ,Decimator,Decimator,LXC80178,1,
Cross converter ,Decimator,Decimator,LXC8017B,1,
Cross converter ,Decimator,Decimator,LXC80171,1,
Cross converter ,Decimator,Decimator,LXC80160,1,
